"SAMPLEID","STATIONID","COLLDATE","TAXAID","N_TAXA","FFG","HABIT","BCG_ATTR","TOLVAL","PHYLUM","SUBPHYLUM","CLASS","SUBCLASS","ORDER","FAMILY","SUBFAMILY","TRIBE","GENUS","INDEX_NAME","INDEX_CLASS","EXCLUDE"
"Samp9142","FW08CA061","9/12/2008","Dero",18,"","",5,NA,"Annelida","","Oligochaeta","","Haplotaxida","Naididae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Nais",26,"CG","BU",5,8,"Annelida","","Oligochaeta","Oligochaeta","Haplotaxida","Naididae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Pristina",7,"","",5,NA,"Annelida","","Oligochaeta","","Haplotaxida","Naididae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Tubificidae",6,"CG","BU",5,10,"Annelida","","Oligochaeta","Oligochaeta","Haplotaxida","Tubificidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Turbellaria",5,"PR","SP",4,4,"Platyhelminthes","","Turbellaria","","","","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Corbicula",14,"CF","BU",6,6,"Mollusca","","Bivalvia","Heterodonta","Veneroida","Corbiculidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Prostoma",1,"PR","",4,6,"Nemertea","","Enopla","","Hoplonemertea","Tetrastemmatidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Physa",15,"SC","",5,8,"Mollusca","","Gastropoda","","Basommatophora","Physidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Lebertia",1,"PR","",4,8,"Arthropoda","","Arachnida","Acarina","Acariformes","Lebertiidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Mideopsis",2,"","",4,NA,"Arthropoda","","Arachnida","","Trombidiformes","Mideopsidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Hyalella",9,"CG","SP",4,8,"Arthropoda","","Malacostraca","","Amphipoda","Hyalellidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Centroptilum",7,"CG","CN",NA,2,"Arthropoda","","Insecta","","Ephemeroptera","Baetidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Fallceon",2,"CG","SW",4,5,"Arthropoda","","Insecta","","Ephemeroptera","Baetidae","",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
"Samp9142","FW08CA061","9/12/2008","Ablabesmyia",14,"PR","SP",5,8,"Arthropoda","","Insecta","","Diptera","Chironomidae","Tanypodinae",NA,NA,"NM_Bugs_BCG","SandyBottomRivers",FALSE
