"INDEX_NAME","INDEX_CLASS","SAMPLEID","L1","L2","L3","L4","L5","L6"
"NM_Bugs_BCG","sandybottomrivers","Samp9142",0,0,0,0,1,0
"NM_Bugs_BCG","sandybottomrivers","Samp9143",0,0,1,0,0,0
"NM_Bugs_BCG","sandybottomrivers","Samp9154",0,0,0,0,0,1
"NM_Bugs_BCG","sandybottomrivers","Samp9160",0,0,0,0,0.3,0.7
"NM_Bugs_BCG","sandybottomrivers","Samp9162",0,0,0,0,0.3,0.7
"NM_Bugs_BCG","sandybottomrivers","Samp9163",0,0,0,0,0.1,0.9
"NM_Bugs_BCG","sandybottomrivers","Samp9167",0,0,0,0,0.5,0.5
"NM_Bugs_BCG","sandybottomrivers","Samp9169",0,0,0.5,0.5,0,0
"NM_Bugs_BCG","sandybottomrivers","Samp9170",0,0,0,0,0,1
"NM_Bugs_BCG","sandybottomrivers","Samp9176",0,0,0,0,0,1
"NM_Bugs_BCG","sandybottomrivers","Samp9190",0,0,0,0,0,1
"NM_Bugs_BCG","sandybottomrivers","Samp9195",0,0,0,0.8,0.2,0
"NM_Bugs_BCG","sandybottomrivers","Samp9201",0,0,0.5,0.5,0,0
"NM_Bugs_BCG","sandybottomrivers","Samp9202",0,0,0,0,0,1
"NM_Bugs_BCG","sandybottomrivers","Samp9208",0,0,0,0,0,1
"NM_Bugs_BCG","sandybottomrivers","Samp9209",0,0,0,0,1,0
"NM_Bugs_BCG","sandybottomrivers","Samp9211",0,0,0,0,0.2,0.8
"NM_Bugs_BCG","sandybottomrivers","Samp9212",0,0,0,0.5,0.5,0
"NM_Bugs_BCG","sandybottomrivers","Samp9214",0,0,0,0,0.2,0.8
"NM_Bugs_BCG","sandybottomrivers","Samp9215",0,0,0,0,0,1
"NM_Bugs_BCG","sandybottomrivers","Samp9217",0,0,0,0,1,0
"NM_Bugs_BCG","sandybottomrivers","Samp9219",0,0,0,0,0.7,0.3
"NM_Bugs_BCG","sandybottomrivers","Samp9220",0,0,0,0,0.3,0.7
"NM_Bugs_BCG","sandybottomrivers","Samp9221",0,0,0.2,0.8,0,0
"NM_Bugs_BCG","sandybottomrivers","Samp9222",0,0,0,0,1,0
"NM_Bugs_BCG","sandybottomrivers","Samp9237",0,0,0,0,1,0
"NM_Bugs_BCG","sandybottomrivers","Samp9243",0,0,0,0,0.4,0.6
"NM_Bugs_BCG","sandybottomrivers","Samp9244",0,0,0,0.5,0.5,0
"NM_Bugs_BCG","sandybottomrivers","Samp9246",0,0,0,0,0.3,0.7
"NM_Bugs_BCG","sandybottomrivers","Samp9247",0,0,0,0,0,1
"NM_Bugs_BCG","sandybottomrivers","Samp9248",0,0,0,0,0.3,0.7
